yr,fit,lower,higher,tau,region,parameter
2015,15.6514031485284,15.2587252325867,16.0440810644701,0.5,GCC,dur
2016,16.3784052019165,15.9785932891703,16.7782171146627,0.5,GCC,dur
2017,17.0721195528177,16.6193034777396,17.5249356278959,0.5,GCC,dur
2018,17.732546201232,17.1523231910368,18.3127692114273,0.5,GCC,dur
2019,18.3596851471595,17.5748101137777,19.1445601805413,0.5,GCC,dur
2008,14.1023271731691,13.2270074191342,14.977646927204,0.75,GCC,dur
2009,15.4300514680392,14.8165055436463,16.043597392432,0.75,GCC,dur
2010,16.6732401752936,16.1888473919792,17.1576329586079,0.75,GCC,dur
2011,17.8318932949323,17.3500096682689,18.3137769215957,0.75,GCC,dur
2012,18.9060108269554,18.3712325621509,19.4407890917598,0.75,GCC,dur
2013,19.8955927713628,19.3140637381648,20.4771218045607,0.75,GCC,dur
2014,20.8006391281545,20.2036657515666,21.3976125047424,0.75,GCC,dur
2015,21.6211498973306,21.0435851454452,22.198714649216,0.75,GCC,dur
2016,22.357125078891,21.8203140123263,22.8939361454557,0.75,GCC,dur
2017,23.0085646728357,22.4948526781137,23.5222766675577,0.75,GCC,dur
2018,23.5754686791648,23.0010653046747,24.1498720536548,0.75,GCC,dur
2019,24.0578370978782,23.2957155465287,24.8199586492277,0.75,GCC,dur
2008,1.64457373184275,0.886965432987366,2.40218203069812,0.25,Lothian_and_Tayside,dur
2009,2.49452429842575,2.05360229408208,2.93544630276943,0.25,Lothian_and_Tayside,dur
2010,3.27540497376228,2.97945083164122,3.57135911588334,0.25,Lothian_and_Tayside,dur
2011,3.98721575785233,3.6593569671174,4.31507454858725,0.25,Lothian_and_Tayside,dur
2012,4.62995665069589,4.23528457051991,5.02462873087187,0.25,Lothian_and_Tayside,dur
2013,5.20362765229297,4.7773481723283,5.62990713225764,0.25,Lothian_and_Tayside,dur
2014,5.70822876264356,5.28127176734606,6.13518575794107,0.25,Lothian_and_Tayside,dur
2015,6.14375998174768,5.69419145703762,6.59332850645774,0.25,Lothian_and_Tayside,dur
2016,6.51022130960531,5.93277900390313,7.08766361530749,0.25,Lothian_and_Tayside,dur
2017,6.80761274621646,5.96132831886127,7.65389717357165,0.25,Lothian_and_Tayside,dur
2018,7.03593429158113,5.79578837446318,8.27608020869908,0.25,Lothian_and_Tayside,dur
2019,7.19518594569931,5.4533577949299,8.93701409646872,0.25,Lothian_and_Tayside,dur
2008,5.6019849418206,4.59990706226657,6.60406282137464,0.5,Lothian_and_Tayside,dur
2009,6.20714774616209,5.58131834909802,6.83297714322616,0.5,Lothian_and_Tayside,dur
2010,6.86172223851895,6.43025556604798,7.29318891098992,0.5,Lothian_and_Tayside,dur
2011,7.56570841889119,7.13239648558517,7.99902035219721,0.5,Lothian_and_Tayside,dur
2012,8.31910628727881,7.81500382178045,8.82320875277717,0.5,Lothian_and_Tayside,dur
2013,9.1219158436818,8.57374893184837,9.67008275551523,0.5,Lothian_and_Tayside,dur
2014,9.97413708810017,9.42670749322295,10.5215666829774,0.5,Lothian_and_Tayside,dur
2015,10.8757700205339,10.3446518948889,11.4068881461789,0.5,Lothian_and_Tayside,dur
2016,11.826814640983,11.2474416275482,12.4061876544179,0.5,Lothian_and_Tayside,dur
2017,12.8272709494475,12.0488257666329,13.6057161322622,0.5,Lothian_and_Tayside,dur
2018,13.8771389459274,12.7386709329164,15.0156069589384,0.5,Lothian_and_Tayside,dur
2019,14.9764186304227,13.3433981810275,16.6094390798178,0.5,Lothian_and_Tayside,dur
2008,10.0968514715948,8.65569090717901,11.5380120360106,0.75,Lothian_and_Tayside,dur
2009,11.2363449691992,10.2973659864365,12.1753239519619,0.75,Lothian_and_Tayside,dur
2010,12.3015058179329,11.6463407936607,12.9566708422052,0.75,Lothian_and_Tayside,dur
2011,13.292334017796,12.6768564753005,13.9078115602916,0.75,Lothian_and_Tayside,dur
2012,14.2088295687885,13.5169421805331,14.9007169570439,0.75,Lothian_and_Tayside,dur
2013,15.0509924709104,14.2984215776753,15.8035633641454,0.75,Lothian_and_Tayside,dur
2014,15.8188227241616,15.0649429562013,16.5727024921219,0.75,Lothian_and_Tayside,dur
2015,16.5123203285421,15.8049987666134,17.2196418904708,0.75,Lothian_and_Tayside,dur
