year,md,lower,upper,region,parameter
2017,35,31,39,Yorkshire & Humber,age_init
2018,32,29.5,39,Yorkshire & Humber,age_init
2019,35.5,29,43.5,Yorkshire & Humber,age_init
1990,21,18,25,England,age_init
1988,21,18.75,24,England,age_init
1987,21,18,24,England,age_init
1989,21,19,24,England,age_init
1991,22,19,26,England,age_init
1992,22,19,26,England,age_init
1993,22,19,26,England,age_init
1994,22,19,26,England,age_init
1995,22,19,26,England,age_init
1996,22,19,27,England,age_init
1997,22,18,26,England,age_init
1998,22,19,27,England,age_init
1999,24,20,28,England,age_init
2000,24,20,29,England,age_init
2001,25,20,29,England,age_init
2002,24,20,29,England,age_init
2003,24,21,30,England,age_init
2004,24,20,29.25,England,age_init
2005,25,20,30,England,age_init
2006,26,21,30,England,age_init
2007,24,20,29,England,age_init
2008,25,21,30,England,age_init
2009,25,20,32,England,age_init
2010,25,21,31,England,age_init
2011,27,22,33,England,age_init
2012,28,24,34,England,age_init
2013,29,24,35,England,age_init
2014,28,24,34,England,age_init
2015,30,25,35,England,age_init
2016,33,28,39,England,age_init
2017,33,28.5,39,England,age_init
2018,33,28,38,England,age_init
2019,33,28,37,England,age_init
1991,8,3.5,14.25,East Midlands,dur
1992,11.5,6,16.75,East Midlands,dur
1994,15,8,19,East Midlands,dur
1995,9,3,12,East Midlands,dur
1996,6,3,15.25,East Midlands,dur
1997,4,2,9.25,East Midlands,dur
1998,6,3,10,East Midlands,dur
1999,4,2,8,East Midlands,dur
2000,6,2,11.25,East Midlands,dur
2001,4,2,10,East Midlands,dur
2002,8,4,14,East Midlands,dur
2003,6,3,10,East Midlands,dur
2004,7,4,10,East Midlands,dur
2005,7,4,11,East Midlands,dur
2006,8,4,12,East Midlands,dur
2007,7,4,11,East Midlands,dur
2008,9,5,13,East Midlands,dur
2009,9,5,13,East Midlands,dur
2010,11,6,14,East Midlands,dur
2011,11,6,14.25,East Midlands,dur
2012,11,6,17,East Midlands,dur
2013,14,9,19,East Midlands,dur
2014,14,7,20,East Midlands,dur
2015,14.5,8,20,East Midlands,dur
2016,16,10,20,East Midlands,dur
2017,16,10,22,East Midlands,dur
2018,16,9,21.75,East Midlands,dur
2019,17,10,22,East Midlands,dur
1990,10.5,7,11,East of England,dur
1991,10,6,15,East of England,dur
1992,10,7,19,East of England,dur
1993,11.5,7.75,16.75,East of England,dur
1994,12,8,17,East of England,dur
