year,fit,lower,higher,tau,region,parameter
1997,11.6250000000001,10.3920162353568,12.8579837646434,0.75,East Midlands,dur
1998,11.3333333333334,10.2705712311784,12.3960954354884,0.75,East Midlands,dur
1999,11.1250000000001,10.2097570419891,12.040242958011,0.75,East Midlands,dur
2000,11,10.2083885443431,11.791611455657,0.75,East Midlands,dur
2001,10.9583333333334,10.2655452896357,11.6511213770311,0.75,East Midlands,dur
2002,11,10.3811957845533,11.6188042154467,0.75,East Midlands,dur
2003,11.125,10.5569837656587,11.6930162343414,0.75,East Midlands,dur
2004,11.3333333333334,10.796672765295,11.8699939013717,0.75,East Midlands,dur
2005,11.625,11.1057146242152,12.1442853757848,0.75,East Midlands,dur
2006,12,11.4900713112422,12.5099286887578,0.75,East Midlands,dur
2007,12.4583333333333,11.9550288324576,12.9616378342091,0.75,East Midlands,dur
2008,13,12.5045234032716,13.4954765967284,0.75,East Midlands,dur
2009,13.625,13.1409320115321,14.1090679884678,0.75,East Midlands,dur
2010,14.3333333333333,13.8650239509033,14.8016427157634,0.75,East Midlands,dur
2011,15.125,14.6758107776987,15.5741892223012,0.75,East Midlands,dur
2012,16,15.5701554744967,16.4298445255032,0.75,East Midlands,dur
2013,16.9583333333333,16.5422242688579,17.3744423978087,0.75,East Midlands,dur
2014,18,17.5834263449794,18.4165736550205,0.75,East Midlands,dur
2015,19.1249999999999,18.6841796664568,19.5658203335431,0.75,East Midlands,dur
2016,20.3333333333333,19.8376684828088,20.8289981838578,0.75,East Midlands,dur
2017,21.6249999999999,21.0422811959781,22.2077188040218,0.75,East Midlands,dur
2018,22.9999999999999,22.3002329314322,23.6997670685677,0.75,East Midlands,dur
2019,24.4583333333333,23.6148198931086,25.3018467735579,0.75,East Midlands,dur
1990,6.99999999999993,5.63833765350107,8.36166234649879,0.25,East of England,dur
1991,6.55789473684204,5.37030476046214,7.74548471322193,0.25,East of England,dur
1992,6.14736842105257,5.12038081518464,7.1743560269205,0.25,East of England,dur
1993,5.76842105263152,4.88815079457502,6.64869131068802,0.25,East of England,dur
1994,5.42105263157889,4.67302039034334,6.16908487281445,0.25,East of England,dur
1995,5.10526315789469,4.47414200518536,5.73638431060401,0.25,East of England,dur
1996,4.8210526315789,4.29033922599952,5.35176603715828,0.25,East of England,dur
1997,4.56842105263154,4.12010002242237,5.01674208284071,0.25,East of England,dur
1998,4.34736842105259,3.96182310131275,4.73291374079244,0.25,East of England,dur
1999,4.15789473684207,3.81458965073472,4.50119982294943,0.25,East of England,dur
2000,3.99999999999997,3.67939471094532,4.32060528905463,0.25,East of England,dur
2001,3.87368421052629,3.55982937253117,4.18753904852142,0.25,East of England,dur
2002,3.77894736842103,3.46114808790013,4.09674664894194,0.25,East of England,dur
2003,3.7157894736842,3.38843016542461,4.04314878194378,0.25,East of England,dur
2004,3.68421052631578,3.34535218548228,4.02306886714928,0.25,East of England,dur
2005,3.68421052631578,3.3339092411035,4.03451181152807,0.25,East of England,dur
2006,3.71578947368421,3.35458411179234,4.07699483557608,0.25,East of England,dur
2007,3.77894736842106,3.40657361291949,4.15132112392262,0.25,East of England,dur
2008,3.87368421052632,3.48798085366622,4.25938756738643,0.25,East of England,dur
2009,4.00000000000001,3.59604899153205,4.40395100846797,0.25,East of England,dur
2010,4.15789473684212,3.72754853636224,4.588240937322,0.25,East of England,dur
2011,4.34736842105265,3.87933623372597,4.81540060837933,0.25,East of England,dur
2012,4.56842105263161,4.04891830197703,5.08792380328619,0.25,East of England,dur
2013,4.82105263157898,4.23476108984666,5.40734417331129,0.25,East of England,dur
2014,5.10526315789477,4.43624430928106,5.77428200650849,0.25,East of England,dur
2015,5.42105263157899,4.65338625240845,6.18871901074952,0.25,East of England,dur
2016,5.76842105263162,4.88654098238752,6.65030112287573,0.25,East of England,dur
2017,6.14736842105268,5.13617999114045,7.15855685096491,0.25,East of England,dur
2018,6.55789473684216,5.40277180355884,7.71301767012548,0.25,East of England,dur
2019,7.00000000000006,5.68673041560559,8.31326958439453,0.25,East of England,dur
1990,10.9999999999999,10.4019251379418,11.5980748620581,0.5,East of England,dur
1991,10.5987460815046,10.0863677388537,11.1111244241555,0.5,East of England,dur
1992,10.2360053739363,9.79328805501211,10.6787226928606,0.5,East of England,dur
1993,9.91177787729506,9.52062213763687,10.3029336169532,0.5,East of England,dur
1994,9.62606359158078,9.26704697889513,9.98508020426642,0.5,East of England,dur
1995,9.3788625167935,9.03323487099822,9.72449016258878,0.5,East of England,dur
1996,9.17017465293323,8.82242526592733,9.51792403993913,0.5,East of England,dur
1997,8.99999999999996,8.63947631365534,9.36052368634459,0.5,East of England,dur
1998,8.8683385579937,8.48924338844672,9.24743372754068,0.5,East of England,dur
1999,8.77519032691444,8.37557877072742,9.17480188310145,0.5,East of England,dur
2000,8.72055530676218,8.30115206842135,9.13995854510301,0.5,East of England,dur
2001,8.70443349753693,8.26765449953481,9.14121249553904,0.5,East of England,dur
2002,8.72682489923868,8.27605416915607,9.1775956293213,0.5,East of England,dur
2003,8.78772951186744,8.3267856365102,9.24867338722467,0.5,East of England,dur
2004,8.8871473354232,8.41986079025395,9.35443388059245,0.5,East of England,dur
2005,9.02507836990596,8.55491548745787,9.49524125235405,0.5,East of England,dur
2006,9.20152261531573,8.73120811725042,9.67183711338103,0.5,East of England,dur
2007,9.4164800716525,8.94758520278762,9.88537494051738,0.5,East of England,dur
2008,9.66995073891628,9.20243415161475,10.1374673262178,0.5,East of England,dur
2009,9.96193461710706,9.49365785858371,10.4302113756304,0.5,East of England,dur
2010,10.2924317062248,9.81872662930148,10.7661367831482,0.5,East of England,dur
2011,10.6614420062696,10.1748697046993,11.14801430784,0.5,East of England,dur
2012,11.0689655172414,10.5594237122671,11.5785073222158,0.5,East of England,dur
2013,11.5150022391402,10.9702460054962,12.0597584727842,0.5,East of England,dur
2014,11.999552171966,11.4060077929026,12.5930965510294,0.5,East of England,dur
2015,12.5226153157188,11.8662289238431,13.1790017075945,0.5,East of England,dur
2016,13.0841916703986,12.3510831732897,13.8173001675075,0.5,East of England,dur
2017,13.6842812360054,12.8611197889037,14.5074426831071,0.5,East of England,dur
2018,14.3228840125393,13.3970282929257,15.2487397321529,0.5,East of England,dur
2019,15.0000000000001,13.9594921788796,16.0405078211206,0.5,East of England,dur
1990,15.2333333333333,13.740749613175,16.7259170534915,0.75,East of England,dur
1991,14.9999999999999,13.686588505857,16.3134114941429,0.75,East of England,dur
1992,14.7999999999999,13.6476704807834,15.9523295192165,0.75,East of England,dur
1993,14.6333333333333,13.622583710041,15.6440829566256,0.75,East of England,dur
1994,14.5,13.6096779886952,15.3903220113047,0.75,East of England,dur
1995,14.4,13.6072774667389,15.192722533261,0.75,East of England,dur
1996,14.3333333333333,13.6141717422608,15.0524949244058,0.75,East of England,dur
1997,14.3,13.6303740021179,14.969625997882,0.75,East of England,dur
1998,14.3,13.6578166353968,14.9421833646032,0.75,East of England,dur
