year,fit,lower,higher,tau,region
1994,-2.7777777777778,-6.3222804760917,0.766724920536102,0.5,Northern Ireland
1995,-1.61111111111113,-4.62551722461559,1.40329500239334,0.5,Northern Ireland
1996,-0.500000000000016,-3.02382499861021,2.02382499861018,0.5,Northern Ireland
1997,0.555555555555542,-1.5175039815745,2.62861509268558,0.5,Northern Ireland
1998,1.55555555555554,-0.107097663223715,3.2182087743348,0.5,Northern Ireland
1999,2.49999999999999,1.20635216789354,3.79364783210644,0.5,Northern Ireland
2000,3.38888888888888,2.42069167119988,4.35708610657788,0.5,Northern Ireland
2001,4.22222222222222,3.53102558817561,4.91341885626882,0.5,Northern Ireland
2002,5,4.52518449770728,5.47481550229272,0.5,Northern Ireland
2003,5.72222222222222,5.37498798043507,6.06945646400938,0.5,Northern Ireland
2004,6.38888888888889,6.0536519545331,6.72412582324468,0.5,Northern Ireland
2005,7,6.60082290394463,7.39917709605538,0.5,Northern Ireland
2006,7.55555555555556,7.0769179932621,8.03419311784902,0.5,Northern Ireland
2007,8.05555555555556,7.50922623227906,8.60188487883207,0.5,Northern Ireland
2008,8.50000000000001,7.90542819187522,9.0945718081248,0.5,Northern Ireland
2009,8.8888888888889,8.26484396035511,9.51293381742269,0.5,Northern Ireland
2010,9.22222222222224,8.58141485450739,9.86302958993708,0.5,Northern Ireland
2011,9.50000000000002,8.84370638952682,10.1562936104732,0.5,Northern Ireland
2012,9.72222222222224,9.03484752583118,10.4095969186133,0.5,Northern Ireland
2013,9.88888888888891,9.13529554313575,10.6424822346421,0.5,Northern Ireland
2014,10,9.12928212769568,10.8707178723044,0.5,Northern Ireland
2015,10.0555555555556,9.00980890493625,11.1013022061749,0.5,Northern Ireland
2016,10.0555555555556,8.77736742406063,11.3337436870505,0.5,Northern Ireland
2017,10,8.43557378710892,11.5644262128911,0.5,Northern Ireland
2018,9.88888888888892,7.98822760376038,11.7895501740175,0.5,Northern Ireland
2019,9.72222222222225,7.43833492863439,12.0061095158101,0.5,Northern Ireland
1990,-11.0576923076923,-22.0472188222621,-0.0681657931225654,0.75,Northern Ireland
1991,-9.18269230769233,-19.1196698904387,0.754285275054009,0.75,Northern Ireland
1992,-7.37500000000002,-16.3121973201219,1.56219732012188,0.75,Northern Ireland
1993,-5.6346153846154,-13.6248930250118,2.35566225578103,0.75,Northern Ireland
1994,-3.96153846153847,-11.0578781472952,3.13480122421828,0.75,Northern Ireland
1995,-2.35576923076924,-8.61131492833995,3.89977646680147,0.75,Northern Ireland
1996,-0.817307692307701,-6.28542455350769,4.65080916889229,0.75,Northern Ireland
1997,0.653846153846148,-4.08051459887475,5.38820690656705,0.75,Northern Ireland
1998,2.0576923076923,-1.99702228688356,6.11240690226817,0.75,Northern Ireland
1999,3.39423076923077,-0.0355843845869654,6.8240459230485,0.75,Northern Ireland
2000,4.66346153846154,1.80284712598634,7.52407595093673,0.75,Northern Ireland
2001,5.86538461538462,3.51681016508261,8.21395906568663,0.75,Northern Ireland
2002,7,5.10400395897095,8.89599604102906,0.75,Northern Ireland
2003,8.0673076923077,6.56076060802489,9.57385477659051,0.75,Northern Ireland
2004,9.0673076923077,7.8813531817996,10.2532622028158,0.75,Northern Ireland
2005,10,9.05781409310884,10.9421859068912,0.75,Northern Ireland
